task_id,category,oracle,restricted,full,no_plan,no_verify
CR4_api_review,Code Review,0.56,0.56,0.62,0.56,0.25
D1_schema_drift,Data Engineering,0.44,0.5,0.5,0.38,0.38
INC1_cascade_failure,Incident Response,0.8,0.8,0.9,0.8,0.9
INT1_pipeline_repair,Integration,0.08,0.42,0.42,0.5,0.67
IR1_evidence_qa,Information Retrieval,0.67,0.33,0.33,0.33,0.5
LH2_budgeted_workflow,Long-Horizon,0.11,0.17,0.5,0.2,0.3
MULTI1_fullstack_fix,Multi-language,0.75,0.5,1.0,0.75,0.25
NEG1_tradeoff_config,Negotiation,0.5,0.5,0.4,0.5,0.4
O2_incident_rootcause,Operations,0.6,0.4,0.6,0.4,0.8
P1_policy_config,Policy,0.93,0.43,0.5,0.0,0.5
PIPE1_etl_fix,Pipeline,0.73,0.36,0.73,0.64,0.73
S1_hidden_spec,Software Eng.,0.0,0.5,0.12,0.0,0.12
S2_dependency_conflict,Software Eng.,0.25,0.25,0.0,0.25,0.25
SEC1_vuln_patch,Security,0.42,0.42,0.75,0.58,0.75
SPEC1_feature_impl,Specification,0.45,0.45,0.0,0.09,0.09
TEST1_spec_to_tests,Testing,0.7,0.3,0.8,0.7,0.8
