task_id,oracle,full,uplift,plan_value,verify_value,difficulty,category,is_adversarial,is_multi_lang,has_analysis_guidance,spec_words,num_languages
CR1_review_respond,0.5,0.31,-0.19,-0.31,-0.31,2,code_review,0,0,0,0,1
CR2_style_enforce,0.92,0.77,-0.15,0.0,0.08,1,code_review,0,0,0,0,1
CR3_perf_review,0.9,1.0,0.1,0.1,0.0,2,code_review,0,0,0,0,1
CR5_test_coverage,0.0886,0.33,0.2414,0.254,0.0786,2,code_review,0,0,0,0,1
CR6_review_checklist,0.26,0.3227,0.0627,0.1205,0.1407,3,code_review,0,0,0,165,1
CROSS5_event_schema,0.7,0.7,-0.0,-0.0,-0.3,3,cross_system,1,1,0,297,2
CROSS6_grpc_rest_bridge,1.0,0.4,-0.6,-0.6,-0.6,3,cross_system,1,0,0,466,1
CROSS7_config_drift,0.6,0.6,0.0,0.0,0.0,3,cross_system,1,0,0,444,1
CRYPTO5_tls_config,0.3,0.3,0.0,-0.15,0.0,3,crypto,1,0,0,154,1
CRYPTO6_token_validation,0.9,0.9,0.0,0.0,0.0,3,crypto,1,0,0,368,1
D2_data_quality,0.27,0.36,0.09,-0.46,0.0,2,data,0,0,0,177,1
D3_schema_migration,0.73,0.82,0.09,0.09,0.0,3,data,0,0,0,0,1
D4_data_pipeline,0.59,0.295,-0.295,-0.295,-0.355,3,data,0,0,0,0,1
D5_query_optimize,0.8,0.8,0.0,-0.13,-0.07,3,data,0,1,0,0,2
D6_data_reconcile,0.83,0.89,0.06,0.06,0.17,4,data,0,0,0,0,1
D7_etl_reconciliation,1.0,1.0,0.0,0.0,0.1,3,data,0,0,0,233,1
D8_csv_cleanup,0.2967,0.6667,0.37,0.0152,0.0667,1,data,0,0,0,157,1
D9_schema_validation,0.8,0.9,0.1,0.1,0.1,2,data,0,0,0,197,1
DIST5_leader_election,0.2,0.2,0.0,0.0,0.0,3,distributed,1,0,0,250,1
DIST6_distributed_lock,1.0,0.57,-0.43,0.09,-0.2078,3,distributed,1,0,0,398,1
GH10_retry_backoff,0.92,1.0,0.08,0.33,0.0,3,github_real,0,0,0,465,1
GH11_middleware_order,0.73,0.73,0.0,0.0,-0.09,3,github_real,0,0,0,389,1
GH1_flask_session_ctx,0.62,0.88,0.26,0.0,0.13,3,github_real,0,0,0,547,1
GH2_click_flag_value,0.9,1.0,0.1,0.3,0.0,3,github_real,0,0,0,399,1
GH3_httpx_auth_leak,0.62,0.92,0.3,0.3,0.23,3,github_real,0,0,0,501,1
GH4_requests_encoding,0.64,0.64,0.0,0.0,-0.09,3,github_real,0,0,0,685,1
GH5_pydantic_circular,0.27,1.0,0.73,0.18,0.0,3,github_real,0,0,0,445,1
GH6_queryset_union,0.25,0.25,0.0,0.0,-0.08,3,github_real,0,0,0,456,1
GH7_fixture_scope_leak,0.9,0.9,0.0,0.3,-0.1,3,github_real,0,0,0,295,1
GH8_async_cache_race,0.89,0.89,0.0,0.22,0.11,3,github_real,0,0,0,408,1
GH9_pool_exhaustion,0.64,0.91,0.27,0.27,0.0,3,github_real,0,0,0,356,1
GO1_concurrency_fix,0.75,0.3,-0.45,-0.2,-0.58,4,multilang,0,0,0,488,1
GO2_race_condition,0.92,1.0,0.08,0.0,0.0,3,multilang,0,1,0,0,2
INC10_rollback_plan,0.4,0.1333,-0.2667,-0.2667,-0.2667,3,incident,0,0,0,356,1
INC2_data_corruption,0.9,1.0,0.1,1.0,0.0,3,incident,0,0,0,0,1
INC3_memory_leak,0.92,0.0,-0.92,0.0,0.0,3,incident,0,0,0,0,1
INC4_dns_miscfg,0.92,1.0,0.08,0.42,0.0,3,incident,0,1,0,0,3
